Стравинский Игорь Фёдорович	Римский-Корсаков Николай Андреевич
Стравинский Игорь Фёдорович	Чайковский Петр Ильич
Стравинский Игорь Фёдорович	Прокофьев Сергей Сергеевич
Стравинский Игорь Фёдорович	Танеев Сергей Иванович
Танеев Сергей Иванович	Бородин Александр Порфирьевич
Танеев Сергей Иванович	Глазунов Александр Константинович
Танеев Сергей Иванович	Скрябин Александр Николаевич
Танеев Сергей Иванович	Кюи Цезарь Антонович
Танеев Сергей Иванович	Глинка Михаил Иванович
Танеев Сергей Иванович	Балакирев Милий Алексеевич
Танеев Сергей Иванович	Мусоргский Модест Петрович
Танеев Сергей Иванович	Римский-Корсаков Николай Андреевич
Танеев Сергей Иванович	Чайковский Петр Ильич
Танеев Сергей Иванович	Глиэр Рейнгольд Морицевич
Танеев Сергей Иванович	Рахманинов Сергей Васильевич
Чайковский Петр Ильич	Бородин Александр Порфирьевич
Чайковский Петр Ильич	Глазунов Александр Константинович
Чайковский Петр Ильич	Лядов Анатолий Константинович
Чайковский Петр Ильич	Рубинштейн Антон Григорьевич
Чайковский Петр Ильич	Кюи Цезарь Антонович
Чайковский Петр Ильич	Направник Эдуард Францевич
Чайковский Петр Ильич	Стравинский Игорь Фёдорович
Чайковский Петр Ильич	Глинка Михаил Иванович
Чайковский Петр Ильич	Балакирев Милий Алексеевич
Чайковский Петр Ильич	Мусоргский Модест Петрович
Чайковский Петр Ильич	Римский-Корсаков Николай Андреевич
Чайковский Петр Ильич	Чайковский Петр Ильич
Чайковский Петр Ильич	Танеев Сергей Иванович
Чесноков Павел Григорьевич	Ипполитов-Иванов Михаил Михайлович
Чесноков Павел Григорьевич	Чайковский Петр Ильич
Чесноков Павел Григорьевич	Танеев Сергей Иванович
Шнитке Альфред Гарриевич	Шостакович Дмитрий Дмитриевич
Шнитке Альфред Гарриевич	Чайковский Петр Ильич
Шнитке Альфред Гарриевич	Рахманинов Сергей Васильевич
Шостакович Дмитрий Дмитриевич	Глазунов Александр Константинович
Шостакович Дмитрий Дмитриевич	Скрябин Александр Николаевич
Шостакович Дмитрий Дмитриевич	Шнитке Альфред Гарриевич
Шостакович Дмитрий Дмитриевич	Кабалевский Дмитрий Борисович
Шостакович Дмитрий Дмитриевич	Стравинский Игорь Фёдорович
Шостакович Дмитрий Дмитриевич	Мусоргский Модест Петрович
Шостакович Дмитрий Дмитриевич	Прокофьев Сергей Сергеевич
